,index,walk_id,title,summary,lat,lng
0,0,1,Fairhaven Surf Life Saving Club,Fairhaven is a well known surf beach. The beach is patrolled during December to the Easter. The Fairhaven SLSC was established in 1958.,-38.46875894,144.08445884
1,1,1,Beach walk,"From Sprout Creek, Eastern View, Moggs Creek, Fairhaven to the bottom of the light house there is approx 6 km of beach, featuring rolling surf and spectacular views of the Otway Ranges and Lorne.",-38.46854155,144.08969344
2,2,1,Rock pools,"See what sort of shells and stones you can collect. Can you find a bright red sea star? You can see all sorts of sea vegetation, small fish and crabs. Look at the bird life, gulls and cormorants.",-38.4684592,144.09241977
3,3,1,Sand dunes,The beautiful rolling sand dunes shape the beach. 2011 has seen significant erosion due to winter storms that have bought strong winds and big waves (up to 10 feet).,-38.46841795,144.09531794
4,4,1,Painkalac Creek,The creek separates Aireys Inlet from Fairhaven and forms an inlet behind the sand dunes before it cuts through to the ocean. A great place to shelter from the wind and for younger children to swim.,-38.46838956,144.09731206
5,5,1,Rocks and caves under the light house,There are more rockpools and rocky outcrops to explore under the light house. This area is part of the marine national park. This means that all wildlife is protected and cannot be removed.,-38.46882153,144.10086059
6,6,1,Aireys Inlet playground and picnic ground,There is small skateboard ramp for children to ride their scooters or skateboards. There are also swings and other play equipment for children and a picnic area.,-38.46619881,144.09877169
7,7,1,Aireys Inlet lower shops,"Pick up a coffee, newspaper or Fish and Chips! To the left of the shops, on the other side of the river, kangaroos can be seen in the early morning or at dusk.",-38.46553592,144.09880054
8,8,1,Loutit Bay lookout,Return to Painkalac Creek inlet and walk to the grassed area on the left. At the light house bollard turn right and walk up the signed (steep) walking track. Enjoy panaromic views on your walk up.,-38.46791596,144.10343538
9,9,1,Historical homestead and building,At the lighthouse is the original homestead for the lighthouse keeper. The Aireys Inlet area was first settled in the 1840s. The first tourists arrived in 1919.,-38.46804821,144.10383193
10,10,1,Split Point Lighthouse,Follow the signs and continue up the walking track. Shipping along the Victorian coast was much safer once the combination of this and other lighthouses at Cape Otway and Point Lonsdale were built.,-38.46811382,144.10402869
11,11,2,1. Tramway signal box,"Built in 1928 soon after the electrification of the Swanston St and St Kilda Rd cable tramways. Originally included female public toilets, roofed passenger waiting area, small store and staff toilets.",-37.80695293,144.96281264
12,12,2,2. City Baths,"Built in 1903, the design reflected the social conventions of the time. Men and women were segregated for all facilities; second class baths were in the basement, first class on the main floor. ",-37.80738194,144.96299006
13,13,2,3. Magistrates Court,"Built on the site of the earlier Supreme Court, the building retains fittings from the earlier court including the Gothic canopy that judge Sir Redmond Barry sat under during Ned Kelly trial in 1880.",-37.80882759,144.96611185
14,14,2,4. Old Melbourne Gaol,"Built between 1851 - 1864. As the oldest surviving penal establishment, it was the site where Ned Kelly was imprisoned, executed and buried, amongst many other criminals.",-37.80756873,144.96571024
15,15,2,5. Eight Hour Day Monument,"Built in 1923, the monument commemorates the Eight Hour Day movement started by stonemasons in 1856 to improve working conditions - eight hours labour, eight hours rest and eight hours recreation.",-37.8071259,144.965808
16,16,2,6. Trades Hall,"Built in stages from 1873 - 1926, Trades Hall is of historical and social significance as a centre of radical and working class politics and activism in Victoria for over 100 years.",-37.80690503,144.96598933
17,17,2,7. Medley Hall,"Built in 1893 as a private residence, the building has since housed the Italian Club, Italian Consulate and for short time was used for a 'less reputable purpose'. ",-37.80580276,144.96761773
18,18,2,8. Lygon shop corner,Lygon Buildings is architecturally significant as the largest and most intact terrace of nineteenth century shops in Melbourne. There are no other comparable retail structures in Melbourne.,-37.80486328,144.96627867
19,19,2,9. Matthais House,"A two storeyed stucco faced bluestone house of 1865-6 with many charming and unusual features - a tower and weathervane, a cantilevered cast iron balcony and delicately glazed arched windows.",-37.80382667,144.96775921
20,20,2,10. Sacred Heart Catholic Church,"Built in 1855-56. In the 1930s and 1940s the Church of the Sacred Heart became a primary focus for Carlton's Italian community, and this continued into the 1960s.",-37.80305114,144.96937767
21,21,2,11. IMAX Theatre,"IMAX is the world's largest cinema format, with a screen up to eight storeys high. Films, from documentaries to latest release movies, can be experienced in 2D or 3D.",-37.80337052,144.96961626
22,22,2,12. Melbourne Museum,"The museum has eight galleries, including one just for children. Highlights include a complete skeleton of a blue whale, the Bunjilaka Aboriginal Cultural Centre, a living rainforest and Phar Lap.",-37.80367352,144.96956388
23,23,2,13. Royal Exhibition Building,The Royal Exhibition Building is the only surviving Great Hall that once housed a 19th-century international exhibition and is still used for exhibitions. ,-37.80513488,144.97123539
24,24,2,14. Carlton Gardens,"Developed in 19th-century Gardenesque style, the Gardens feature symmetrically-placed garden beds, significant avenues, the path system, specimen and clusters of trees, 2 small lakes and 3 fountains.",-37.80562954,144.97138546
25,25,2,15. Playground,"Wonderful playground with swings, slides and many opportunities to climb and clamber, plus small hills to roll down!",-37.80250522,144.97069999
26,26,2,16. Carlton Gardens Primary School,The school is an Italian Gothic style building built in 1884 with a hipped roof central pavilion buttressed either end by slightly projecting gables.,-37.80193764,144.96962474
27,27,2,17. Terrace Houses (201 - 205 Drummond Street),"Built in 1884, Holcombe Terrace is a fine example of boom style terrace architecture and notable among the works of Norman Hitchcock.",-37.80089591,144.96833986
28,28,2,18. Museo Italiano,"Museo Italiano displays and interprets the experience of Italian migration, and the culture created by Italians in Australia.",-37.79881302,144.96813606
29,29,2,19. La Mama Theatre,"Built in 1883, the building was used for various industrial purposes. In 1967, it was leased by Betty Burstall, teacher and theatre-lover, for use as a small theatre to nurture new Australian drama.",-37.79875344,144.96765164
30,30,2,19. Underground public toilets,"The underground public toilets, built in 1939, are one of eleven built in Melbourne in response to public demand for public toilet facilities in Melbourne that were both sanitary and discreet.",-37.7987245,144.9674163
31,31,2,21. 313-315 Drummond Street,"Built in 1889, the buliding is architecturally significant for its highly unusual grotesque Gothic facade. The kangaroo-gryphon grotesques on the parapet are highly unusual and distinctive.",-37.79842454,144.9687503
32,32,2,22. Carlton Court House,The Carlton Court House is historically significant as part of the civic core of Drummond Street. It is directly opposite the 1878 Carlton Police Station. ,-37.79770339,144.96886656
