,index,osm_type,osm_id,lat,lng,name,full_name
15,0,way,1089591567,-38.468370425492836,144.08415042495352,Fairhaven Surf Life Saving Club,Fairhaven Surf Life Saving Club club surf_life_saving emergency lifeguard lifeguard base
17,0,relation,3290432,-38.31247649006294,144.05314872366154,Surf Coast Shire,Surf Coast Shire place municipality type boundary admin_level 6 boundary administrative population 29397
7,0,way,95186468,-38.55469918731497,143.97162075716204,nan,source ABS_2006 natural coastline attribution Based on Australian Bureau of Statistics data
13,0,way,1007494584,-38.4687345107664,144.08393901760925,Fairhaven,Fairhaven natural beach surface sand
9,0,way,417262577,-38.46824590741632,144.08640455787602,Surf Coast Walk,Surf Coast Walk highway path surface gravel
22,0,relation,9212148,-38.4297845652081,144.18052996106934,Lorne - Queenscliff Coastal Reserve,Lorne - Queenscliff Coastal Reserve Lorne - Queenscliff Coast Res source VicMap ParkRes leisure nature_reserve type boundary boundary protected_area operator Committee of Management protection_title Coastal Reserve start_date 1979-05-01
0,0,node,4159707158,-38.4681475,144.084919,Fairhaven,Fairhaven alt_name Yarringa Road/Great Ocean Road highway bus_stop public_transport platform tactile_paving bench bus shelter
1,0,node,4159707159,-38.4679435,144.0856619,Fairhaven,Fairhaven alt_name Yarringa Road/Great Ocean Road highway bus_stop public_transport platform bench bus shelter
14,0,way,1009404376,-38.47053550730281,144.06587236253347,Table Rock,Table Rock natural beach
20,0,relation,4095122,-25.577672428644792,134.35511304954375,Mainland Australia,Mainland Australia type boundary boundary land_area
9,1,way,553614082,-38.46757159224123,144.09021219523808,Surf Coast Walk,Surf Coast Walk highway path surface gravel
5,1,way,417262577,-38.46824590741632,144.08640455787602,Surf Coast Walk,Surf Coast Walk highway path surface gravel
6,1,way,417262580,-38.468046877955935,144.08879077052217,Surf Coast Walk,Surf Coast Walk highway path surface gravel
7,1,way,417262582,-38.46590340325067,144.09253727452656,Surf Coast Walk,Surf Coast Walk highway path surface gravel
4,1,way,95186468,-38.55469918731497,143.97162075716204,nan,source ABS_2006 natural coastline attribution Based on Australian Bureau of Statistics data
14,1,way,1007494584,-38.4687345107664,144.08393901760925,Fairhaven,Fairhaven natural beach surface sand
18,1,relation,3290432,-38.31247649006294,144.05314872366154,Surf Coast Shire,Surf Coast Shire place municipality type boundary admin_level 6 boundary administrative population 29397
21,1,relation,4095122,-25.577672428644792,134.35511304954375,Mainland Australia,Mainland Australia type boundary boundary land_area
1,1,way,30505665,-38.46763216501779,144.0859585770875,Great Ocean Road,Great Ocean Road highway primary surface asphalt maxspeed 60 network AU:VIC ref B100
15,1,way,1009404376,-38.47053550730281,144.06587236253347,Table Rock,Table Rock natural beach
7,2,way,1007494584,-38.4687345107664,144.08393901760925,Fairhaven,Fairhaven natural beach surface sand
8,2,way,1009404376,-38.47053550730281,144.06587236253347,Table Rock,Table Rock natural beach
1,2,way,30501938,-38.46326506495396,144.09694225713721,Painkalac Creek Estuary,Painkalac Creek Estuary natural water water river
18,2,relation,9457256,-39.49045242723501,146.4511611710002,Bass Strait,Bass Strait natural strait type multipolygon
3,2,way,95186468,-38.55469918731497,143.97162075716204,nan,source ABS_2006 natural coastline attribution Based on Australian Bureau of Statistics data
17,2,relation,9212148,-38.4297845652081,144.18052996106934,Lorne - Queenscliff Coastal Reserve,Lorne - Queenscliff Coastal Reserve Lorne - Queenscliff Coast Res source VicMap ParkRes leisure nature_reserve type boundary boundary protected_area operator Committee of Management protection_title Coastal Reserve start_date 1979-05-01
6,2,way,553614082,-38.46757159224123,144.09021219523808,Surf Coast Walk,Surf Coast Walk highway path surface gravel
4,2,way,417262582,-38.46590340325067,144.09253727452656,Surf Coast Walk,Surf Coast Walk highway path surface gravel
12,2,relation,3290432,-38.31247649006294,144.05314872366154,Surf Coast Shire,Surf Coast Shire place municipality population 29397 type boundary admin_level 6 boundary administrative
15,2,relation,4095122,-25.577672428644792,134.35511304954375,Mainland Australia,Mainland Australia type boundary boundary land_area
3,3,way,1007494584,-38.4687345107664,144.08393901760925,Fairhaven,Fairhaven natural beach surface sand
2,3,way,95186468,-38.55469918731497,143.97162075716204,nan,source ABS_2006 natural coastline attribution Based on Australian Bureau of Statistics data
7,3,relation,3290432,-38.31247649006294,144.05314872366154,Surf Coast Shire,Surf Coast Shire place municipality population 29397 admin_level 6 boundary administrative type boundary
4,3,way,1009404376,-38.47053550730281,144.06587236253347,Table Rock,Table Rock natural beach
10,3,relation,4095122,-25.577672428644792,134.35511304954375,Mainland Australia,Mainland Australia boundary land_area type boundary
13,3,relation,9457256,-39.49045242723501,146.4511611710002,Bass Strait,Bass Strait natural strait type multipolygon
1,3,way,30501938,-38.46326506495396,144.09694225713721,Painkalac Creek Estuary,Painkalac Creek Estuary natural water water river
12,3,relation,9212148,-38.4297845652081,144.18052996106934,Lorne - Queenscliff Coastal Reserve,Lorne - Queenscliff Coastal Reserve Lorne - Queenscliff Coast Res source VicMap ParkRes leisure nature_reserve boundary protected_area type boundary operator Committee of Management protection_title Coastal Reserve start_date 1979-05-01
0,3,way,30501933,-38.454356761869796,144.09108168977195,Painkalac Creek,Painkalac Creek waterway stream
8,3,relation,3697450,-37.25522161165451,142.57365213302748,Western Victoria Region,Western Victoria Region boundary political type boundary political_division au_vic_lc
1,4,way,30501938,-38.46326506495396,144.09694225713721,Painkalac Creek Estuary,Painkalac Creek Estuary natural water water river
4,4,way,1007494584,-38.4687345107664,144.08393901760925,Fairhaven,Fairhaven natural beach surface sand
7,4,relation,3290432,-38.31247649006294,144.05314872366154,Surf Coast Shire,Surf Coast Shire place municipality population 29397 admin_level 6 boundary administrative type boundary
5,4,way,1009404376,-38.47053550730281,144.06587236253347,Table Rock,Table Rock natural beach
2,4,way,95186468,-38.55469918731497,143.97162075716204,nan,source ABS_2006 natural coastline attribution Based on Australian Bureau of Statistics data
